filename,published,modified,expires,deprecated
install-and-configure-phpmyadmin-on-debian-8.md,2014-01-02 00:00:00,2015-09-16 00:00:00,,False
install-mysql-on-ubuntu-14-04.md,2012-10-08 00:00:00,2015-08-26 00:00:00,,False
install-mysql-phpmyadmin-debian-7.md,2014-01-02 00:00:00,2015-09-16 00:00:00,,False
install-mysql-phpmyadmin-on-ubuntu-12-04.md,2013-09-12 00:00:00,2015-09-16 00:00:00,,True
install-mysql-phpmyadmin-ubuntu-14-04.md,2013-09-12 00:00:00,2017-08-01 00:00:00,,False
manage-mysql-with-phpmyadmin-on-debian-5-lenny.md,2010-01-28 00:00:00,2014-01-22 00:00:00,,True
manage-mysql-with-phpmyadmin-on-ubuntu-10-10-maverick.md,2011-01-10 00:00:00,2013-09-24 00:00:00,,True
manage-mysql-with-phpmyadmin-on-ubuntu-9-10-karmic.md,2010-04-17 00:00:00,2011-05-17 00:00:00,,True
managing-mysql-with-phpmyadmin-on-centos-6-4.md,2014-02-04 00:00:00,2017-08-01 00:00:00,,False
standalone-mysql-server.md,2009-09-30 00:00:00,2011-04-29 00:00:00,2013-04-29 00:00:00,True
use-mysql-relational-databases-on-centos-5.md,2009-08-11 00:00:00,2014-01-22 00:00:00,,True
use-mysql-relational-databases-on-debian-5-lenny.md,2009-08-07 00:00:00,2012-10-08 00:00:00,,True
use-mysql-relational-databases-on-debian-6-squeeze.md,2011-01-26 00:00:00,2014-01-14 00:00:00,,True
use-mysql-relational-databases-on-fedora-12.md,2009-08-11 00:00:00,2012-10-08 00:00:00,,True
use-mysql-relational-databases-on-fedora-13.md,2010-05-28 00:00:00,2012-10-08 00:00:00,,True
use-mysql-relational-databases-on-fedora-14.md,2010-12-07 00:00:00,2014-01-28 00:00:00,,True
use-mysql-relational-databases-on-ubuntu-10-04-lts-lucid.md,2010-04-30 00:00:00,2013-09-24 00:00:00,,True
use-mysql-relational-databases-on-ubuntu-10-10-maverick.md,2010-10-21 00:00:00,2012-10-08 00:00:00,,True
use-mysql-relational-databases-on-ubuntu-8-04-hardy.md,2009-08-11 00:00:00,2012-10-08 00:00:00,,True
use-mysql-relational-databases-on-ubuntu-9-04-jaunty.md,2009-08-11 00:00:00,2012-10-08 00:00:00,,True
use-mysql-relational-databases-on-ubuntu-9-10-karmic.md,2009-10-29 00:00:00,2012-10-08 00:00:00,,True
using-mysql-relational-databases-on-arch-linux.md,2011-04-05 00:00:00,2014-01-23 00:00:00,,True
using-mysql-relational-databases-on-fedora-20.md,2014-01-28 00:00:00,2014-01-28 00:00:00,,True
using-mysql-relational-databases-on-gentoo.md,2011-01-21 00:00:00,2014-01-28 00:00:00,,True
oracle-10g-express-edition-on-debian-5-lenny.md,2010-01-28 00:00:00,2014-08-13 00:00:00,,True
oracle-10g-express-edition-on-debian-6-squeeze.md,2011-02-23 00:00:00,2014-08-13 00:00:00,,True
oracle-10g-express-edition-on-ubuntu-10-04-lts-lucid.md,2010-05-05 00:00:00,2014-08-13 00:00:00,,True
oracle-10g-express-edition-on-ubuntu-10-10-maverick.md,2011-04-05 00:00:00,2014-08-13 00:00:00,,True
